avg_delta_abs_fwd_10d,avg_delta_abs_fwd_14d,avg_delta_abs_fwd_5d,avg_delta_directional_fwd_10d,avg_delta_directional_fwd_14d,avg_delta_directional_fwd_5d,avg_delta_path_range_10d,avg_delta_path_range_14d,avg_delta_path_range_5d,control_avg_abs_fwd_10d,control_avg_abs_fwd_14d,control_avg_abs_fwd_5d,control_avg_directional_fwd_10d,control_avg_directional_fwd_14d,control_avg_directional_fwd_5d,control_avg_path_range_10d,control_avg_path_range_14d,control_avg_path_range_5d,description,direction_hypothesis,event_avg_abs_fwd_10d,event_avg_abs_fwd_14d,event_avg_abs_fwd_5d,event_avg_directional_fwd_10d,event_avg_directional_fwd_14d,event_avg_directional_fwd_5d,event_avg_path_range_10d,event_avg_path_range_14d,event_avg_path_range_5d,n_event_count_sum,n_symbols,n_windows,positive_delta_rate_abs_fwd_10d,positive_delta_rate_abs_fwd_14d,positive_delta_rate_abs_fwd_5d,positive_delta_rate_directional_fwd_10d,positive_delta_rate_directional_fwd_14d,positive_delta_rate_directional_fwd_5d,positive_delta_rate_path_range_10d,positive_delta_rate_path_range_14d,positive_delta_rate_path_range_5d,underpowered,variant
-0.005632745762105239,-0.017723243104545747,-0.0020766833818134513,0.006760410603221188,0.021761657394780125,-0.0009079536146605804,-0.0034813550539212388,-0.01765222493814651,0.0009559949864319303,0.08754326277131427,0.13320416878637525,0.04164309974157406,-0.05986983577822429,-0.11299861370817373,-0.005973226454307315,0.15198945649740733,0.21524815365701438,0.0886208312412036,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bearish_activity,0.08191051700920904,0.11630168421840352,0.03956641635976062,-0.0531094251750031,-0.0932699133183894,-0.006881180068967896,0.14850810144348608,0.19775118293832372,0.08957682622763552,107,12,20,0.35,0.3157894736842105,0.35,0.6,0.42105263157894735,0.4,0.5,0.3157894736842105,0.5,False,baseline_complete_directional
-0.004241289409037956,-0.010512150713380372,-3.338099861138619e-05,-0.008865506274124657,-0.014998889603992207,0.002226961721196492,-0.0010918108046280856,-0.01385898768084713,0.005463649226808608,0.08130284491071722,0.11911876823994418,0.03956528696943366,0.05215159450043746,0.09520667375034159,0.008680478688204263,0.1410196330587898,0.19655496095653266,0.08402796065363019,Current complete-evidence bullish/bearish direction classes without extra strict filtering.,bullish_activity,0.07706155550167926,0.10961920356511799,0.039531905970822276,0.0432860882263128,0.0824551020709998,0.010907440409400756,0.13992782225416173,0.18347880109448114,0.0894916098804388,150,12,23,0.391304347826087,0.45454545454545453,0.4782608695652174,0.391304347826087,0.5909090909090909,0.5652173913043478,0.5652173913043478,0.36363636363636365,0.6086956521739131,False,baseline_complete_directional
-0.010821732300546883,-0.040444619936589224,0.0035904073261660667,0.021708973741884637,0.0492993395444793,-0.006784291244491579,-0.010812362298530423,-0.03978700159056389,0.0048841636533066965,0.07031756332149554,0.11623988212535778,0.03932977414741649,-0.04643608762875101,-0.09568991232806817,-0.006635156284648364,0.1309846627100996,0.19159391939901188,0.07972534073492392,Net opening OI increase plus underlying confirming the inferred direction.,bearish_activity,0.05949583102094865,0.07980246463337863,0.04292018147358255,-0.024727113886866374,-0.05249811018571177,-0.013419447529139943,0.12017230041156916,0.15529935318698634,0.08460950438823063,26,10,14,0.2857142857142857,0.23076923076923078,0.35714285714285715,0.5714285714285714,0.46153846153846156,0.42857142857142855,0.42857142857142855,0.23076923076923078,0.5714285714285714,False,opening_confirming
-0.021712838309275416,-0.030750514547821815,0.0023415618747028347,-0.030216125090102186,-0.05375836189347829,-0.007846731426587405,-0.019500086907625187,-0.05130841731549166,0.006587514720234932,0.06703940806235001,0.08810756547903882,0.03127004459672455,0.022965599417635485,0.06320172919064244,-0.015036218952765407,0.149353919785977,0.19995711254345405,0.08620262023714016,Net opening OI increase plus underlying confirming the inferred direction.,bullish_activity,0.045326569753074586,0.05735705093121701,0.033611606471427385,-0.007250525672466701,0.009443367297164162,-0.022882950379352812,0.1298538328783518,0.14864869522796237,0.09279013495737509,13,5,8,0.25,0.5,0.5,0.5,0.5,0.375,0.25,0.25,0.625,True,opening_confirming
-0.014528194951596105,-0.04862898640799044,0.004099942382773902,0.027786198622463308,0.07009654741318516,-0.004152849687189847,-0.015195170543686354,-0.053121657158336506,0.010148594855525045,0.08796886804932592,0.14872007332008966,0.046748499620956695,-0.06363978442408208,-0.13374767013408215,-0.005394564794321105,0.15420465330991034,0.23526787292347479,0.08935715436863774,Net opening OI increase plus positive IV change.,bearish_activity,0.07344067309772981,0.10327158786222027,0.0508484420037306,-0.03585358580161877,-0.07047562009013823,-0.009547414481510951,0.139009482766224,0.1840016954994229,0.09950574922416278,23,9,10,0.3,0.2222222222222222,0.3,0.6,0.5555555555555556,0.5,0.4,0.1111111111111111,0.6,False,opening_iv_up
-0.037261171451296746,-0.061882949374538795,-0.000469638575233506,-0.05954813953722288,-0.10556810821769887,-0.015260261644137305,-0.02964213540574038,-0.08228757395784099,0.0004717446174727011,0.07962440041466101,0.12008032905084573,0.04018913795128319,0.0346370969335076,0.10850622196262094,-0.023230654673036658,0.17737527190016933,0.2516501751272801,0.10417126409804282,Net opening OI increase plus positive IV change.,bullish_activity,0.042363228963364266,0.058197379676306935,0.03971949937604968,-0.024911042603715284,0.002938113744922077,-0.03849091631717396,0.14773313649442896,0.1693626011694391,0.10464300871551553,8,4,5,0.2,0.4,0.4,0.0,0.2,0.4,0.2,0.2,0.4,True,opening_iv_up
-0.03530705788616186,-0.08184661331281091,0.0008084229823402368,0.05091961933927195,0.11454764225180929,0.007180745533084662,-0.03107079562158841,-0.10424687001076052,0.012144116202656464,0.0900508911210661,0.15490558597456808,0.04185110571873267,-0.06762390208498162,-0.14445427553172216,0.020044289413005525,0.16415622249838976,0.2636535751633291,0.08494179947805772,"Net opening OI increase, positive IV change, and underlying confirmation.",bearish_activity,0.05474383323490424,0.08482639741206766,0.0426595287010729,-0.016704282745709675,-0.0503045259065922,0.027225034946090187,0.13308542687680136,0.1676655667436518,0.09708591568071417,6,4,5,0.2,0.25,0.4,0.6,0.5,0.6,0.4,0.25,1.0,True,opening_iv_up_confirming
0.009475941469486344,-0.03911729644560293,0.010454533298833116,-0.04598506366191139,-0.08431430347043502,-0.017509726134824398,-0.0018862976837473247,-0.049900410568750095,0.0027301885839006723,0.03929850176294801,0.08545774217593939,0.035795283870731553,-0.0027893795705229603,0.06585564097608289,-0.02874009103474027,0.13931866959762157,0.19860281393387488,0.08977253975756705,"Net opening OI increase, positive IV change, and underlying confirmation.",bullish_activity,0.04877444323243435,0.046340445730336466,0.046249817169564666,-0.04877444323243435,-0.01845866249435213,-0.046249817169564666,0.13743237191387425,0.1487024033651248,0.09250272834146772,2,2,2,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,True,opening_iv_up_confirming
-0.03772019568527214,-0.10291006552336063,-0.005369804333357995,0.05826392292779567,0.13378025914895644,0.008338125893217429,-0.024974413559847888,-0.10613147699036213,0.007256201796281598,0.07560047018102413,0.14533384422050416,0.03749058232449188,-0.03871988053062628,-0.13714061671325686,0.020082728283901053,0.14960463895432954,0.24093914493206542,0.08081936587674256,"Net opening OI increase, positive IV change, and front-month IV richening.",bearish_activity,0.03788027449575199,0.04242377869714353,0.032120777991133886,0.019544042397169392,-0.00336035756430042,0.028420854177118482,0.12463022539448165,0.1348076679417033,0.08807556767302416,9,4,4,0.0,0.0,0.25,0.75,0.75,0.75,0.25,0.0,0.5,True,opening_iv_up_front
-0.037261171451296746,-0.061882949374538795,-0.000469638575233506,-0.05954813953722288,-0.10556810821769887,-0.015260261644137305,-0.02964213540574038,-0.08228757395784099,0.0004717446174727011,0.07962440041466101,0.12008032905084573,0.04018913795128319,0.0346370969335076,0.10850622196262094,-0.023230654673036658,0.17737527190016933,0.2516501751272801,0.10417126409804282,"Net opening OI increase, positive IV change, and front-month IV richening.",bullish_activity,0.042363228963364266,0.058197379676306935,0.03971949937604968,-0.024911042603715284,0.002938113744922077,-0.03849091631717396,0.14773313649442896,0.1693626011694391,0.10464300871551553,7,4,5,0.2,0.4,0.4,0.0,0.2,0.4,0.2,0.2,0.4,True,opening_iv_up_front
-0.06684971362818978,-0.18680683229975203,0.0030596625138616593,0.11167747475291749,0.2601558889035256,0.01011485534985294,-0.05594041316760607,-0.21058882956331382,0.01523866447201433,0.11439915173968299,0.23742225221963098,0.05748196965439071,-0.06412803664142429,-0.23742225221963098,0.05042677681839943,0.2220095419849204,0.38792798983187865,0.11536462566412373,"Net opening OI increase, positive IV change, front-month IV richening, and underlying confirmation.",bearish_activity,0.0475494381114932,0.050615419919878946,0.06054163216825237,0.0475494381114932,0.02273363668389461,0.06054163216825237,0.16606912881731434,0.17733916026856486,0.13060329013613806,2,2,2,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,1.0,True,opening_iv_up_front_confirming
-0.012047038422268806,-0.11691414424989333,0.032934249806043356,-0.060971205962581286,-0.11691414424989333,-0.04704463547802592,-0.0009981941650875764,-0.0808929384012175,0.026961021862236145,0.036509122192425046,0.14479592748587766,0.02777165603989547,0.036509122192425046,0.14479592748587766,-0.013661270367912906,0.10778267821481058,0.21021748535344156,0.06891536973079472,"Net opening OI increase, positive IV change, front-month IV richening, and underlying confirmation.",bullish_activity,0.02446208377015624,0.027881783235984336,0.06070590584593882,-0.02446208377015624,0.027881783235984336,-0.06070590584593882,0.106784484049723,0.12932454695222406,0.09587639159303087,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True,opening_iv_up_front_confirming
-0.03772019568527214,-0.10291006552336063,-0.005369804333357995,0.05826392292779567,0.13378025914895644,0.008338125893217429,-0.024974413559847888,-0.10613147699036213,0.007256201796281598,0.07560047018102413,0.14533384422050416,0.03749058232449188,-0.03871988053062628,-0.13714061671325686,0.020082728283901053,0.14960463895432954,0.24093914493206542,0.08081936587674256,"Net opening OI increase, positive IV change, front-month richening, and direction-supportive/neutral skew.",bearish_activity,0.03788027449575199,0.04242377869714353,0.032120777991133886,0.019544042397169392,-0.00336035756430042,0.028420854177118482,0.12463022539448165,0.1348076679417033,0.08807556767302416,9,4,4,0.0,0.0,0.25,0.75,0.75,0.75,0.25,0.0,0.5,True,opening_iv_up_front_skew
-0.04321620210286385,-0.07074920468283437,0.004154913023706095,-0.07107491221027151,-0.12535565323678444,-0.01616372785803627,-0.04014751073948676,-0.10212145369695216,0.0008909513003332453,0.08700212225777788,0.12757430695649213,0.04472659678455868,0.03076799290633611,0.11310667309621115,-0.03271778195022851,0.2043221280788344,0.2887904750584661,0.12031913013582188,"Net opening OI increase, positive IV change, front-month richening, and direction-supportive/neutral skew.",bullish_activity,0.04378592015491403,0.05682510227365778,0.04888150980826478,-0.0403069193039354,-0.012248980140573296,-0.04888150980826478,0.16417461733934766,0.18666902136151395,0.12121008143615512,6,3,4,0.25,0.5,0.5,0.0,0.25,0.5,0.0,0.25,0.5,True,opening_iv_up_front_skew
