avg_directional_underlying_fwd_10d,avg_directional_underlying_fwd_14d,avg_directional_underlying_fwd_1d,avg_directional_underlying_fwd_5d,avg_option_contract_long_fwd_10d,avg_option_contract_long_fwd_14d,avg_option_contract_long_fwd_1d,avg_option_contract_long_fwd_5d,direction_hypothesis,directional_underlying_hit_rate_10d,directional_underlying_hit_rate_14d,directional_underlying_hit_rate_1d,directional_underlying_hit_rate_5d,n_events,sample,symbol
-0.0821220394008706,-0.10016232568435024,0.01272780934110529,-0.03349811849774942,-0.9678362573099414,-0.9956140350877194,0.23391812865497075,-0.7573099415204678,bearish_activity,0.0,0.0,1.0,0.0,9,complete_evidence_only,AAPL
,,,,1.8841463414634148,2.439024390243903,-0.23780487804878048,0.4695121951219514,bearish_activity_or_call_selling,,,,,5,complete_evidence_only,AAPL
0.0821220394008706,0.10016232568435024,-0.01272780934110529,0.03349811849774942,1.8841463414634148,2.439024390243903,-0.23780487804878048,0.4695121951219514,bullish_activity,1.0,1.0,0.0,1.0,13,complete_evidence_only,AAPL
,,,,-0.9678362573099415,-0.9956140350877193,0.23391812865497075,-0.7573099415204678,bullish_activity_or_put_selling,,,,,7,complete_evidence_only,AAPL
,,,,-0.25484060761660243,-0.13695442875481376,0.11598737697903294,-0.450604407359863,mixed_or_conflicting_activity,,,,,4,complete_evidence_only,AAPL
0.020046710782405497,0.02715064227325792,-0.01086674451797065,-0.013591540158297777,0.2293333333333334,0.3426666666666667,-0.2506666666666667,-0.42266666666666663,bearish_activity,1.0,1.0,0.0,0.0,5,complete_evidence_only,JPM
,,,,-0.7953846153846154,-0.9907692307692307,0.2615384615384615,0.29384615384615387,bearish_activity_or_call_selling,,,,,7,complete_evidence_only,JPM
-0.020046710782405497,-0.02715064227325792,0.01086674451797065,0.013591540158297777,-0.7953846153846154,-0.9907692307692307,0.2615384615384615,0.29384615384615387,bullish_activity,0.0,0.0,1.0,1.0,2,complete_evidence_only,JPM
,,,,0.2293333333333334,0.3426666666666667,-0.2506666666666667,-0.42266666666666663,bullish_activity_or_put_selling,,,,,5,complete_evidence_only,JPM
,,,,-0.30999190283400807,-0.35914170040485827,0.01891497975708498,-0.04555465587044532,mixed_or_conflicting_activity,,,,,19,complete_evidence_only,JPM
-0.0729557898547446,-0.13885243676184444,0.017749671930856636,-0.08978913072989725,-0.9761965054444163,-0.9992403140035452,0.13699670802734865,-0.9151683970625475,bearish_activity,0.0,0.0,1.0,0.0,1,complete_evidence_only,LLY
,,,,0.6172506738544474,1.8930817610062896,-0.21316262353998205,0.9254267744833782,bearish_activity_or_call_selling,,,,,6,complete_evidence_only,LLY
0.0729557898547446,0.13885243676184444,-0.017749671930856636,0.08978913072989725,0.6172506738544474,1.8930817610062896,-0.21316262353998205,0.9254267744833782,bullish_activity,1.0,1.0,0.0,1.0,4,complete_evidence_only,LLY
,,,,-0.9761965054444163,-0.9992403140035452,0.13699670802734865,-0.9151683970625475,bullish_activity_or_put_selling,,,,,2,complete_evidence_only,LLY
,,,,-0.3388176337248708,0.15768851600038872,-0.0030670245995836343,-0.17893032844417722,mixed_or_conflicting_activity,,,,,25,complete_evidence_only,LLY
-0.033274115331060505,-0.13189609641330957,-0.04004417342872224,0.04715033370144539,-0.7174999999999999,-0.995,-0.39375000000000004,0.58125,bearish_activity,0.0,0.0,0.0,1.0,12,complete_evidence_only,NVDA
0.033274115331060505,0.13189609641330957,0.04004417342872224,-0.04715033370144539,0.11521418020679475,2.825701624815362,0.7518463810930576,-0.7592319054652881,bullish_activity,1.0,1.0,1.0,0.0,19,complete_evidence_only,NVDA
,,,,-0.7175,-0.995,-0.39375000000000004,0.58125,bullish_activity_or_put_selling,,,,,4,complete_evidence_only,NVDA
,,,,-0.7174999999999999,-0.995,-0.39375000000000004,0.58125,mixed_or_conflicting_activity,,,,,3,complete_evidence_only,NVDA
-0.3236696787148594,-0.6635291164658634,-0.03275602409638556,0.010918674698795261,-0.9755102040816327,-0.998639455782313,-0.19999999999999996,-0.1428571428571428,bearish_activity,0.0,0.0,0.0,1.0,9,complete_evidence_only,RKLB
,,,,2.4951048951048946,6.3552447552447555,0.16083916083916083,-0.2797202797202797,bearish_activity_or_call_selling,,,,,2,complete_evidence_only,RKLB
0.3236696787148594,0.6635291164658634,0.03275602409638556,-0.010918674698795261,2.4951048951048946,6.3552447552447555,0.16083916083916083,-0.2797202797202797,bullish_activity,1.0,1.0,1.0,0.0,4,complete_evidence_only,RKLB
,,,,-0.9755102040816327,-0.998639455782313,-0.19999999999999996,-0.1428571428571428,bullish_activity_or_put_selling,,,,,4,complete_evidence_only,RKLB
,,,,1.3382331953760522,3.903950018235733,0.04055944055944057,-0.23409923409923405,mixed_or_conflicting_activity,,,,,21,complete_evidence_only,RKLB
0.029145121214156244,-0.02598885232690895,0.004835135316634154,-0.025787388355382523,0.14516129032258052,-0.9290322580645162,-0.07741935483870976,-0.567741935483871,bearish_activity,1.0,0.0,1.0,0.0,1,complete_evidence_only,XOM
,,,,-0.8602409638554217,-0.34698795180722897,-0.12048192771084343,0.3012048192771084,bearish_activity_or_call_selling,,,,,8,complete_evidence_only,XOM
-0.029145121214156244,0.02598885232690895,-0.004835135316634154,0.025787388355382523,-0.8602409638554217,-0.34698795180722897,-0.12048192771084343,0.30120481927710835,bullish_activity,0.0,1.0,0.0,1.0,7,complete_evidence_only,XOM
,,,,0.14516129032258052,-0.9290322580645162,-0.07741935483870976,-0.567741935483871,bullish_activity_or_put_selling,,,,,2,complete_evidence_only,XOM
,,,,-0.046343900949419904,-0.8181666759202709,-0.08562174967149713,-0.4022282679103511,mixed_or_conflicting_activity,,,,,21,complete_evidence_only,XOM
